2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000005 started execution at 8.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000006 scheduled on host demo-host-02
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000006 scheduled on host demo-host-02
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000006 started execution at 10.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000007 scheduled on host demo-host-03
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000007 scheduled on host demo-host-03
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000007 started execution at 12.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000008 scheduled on host demo-host-03
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000008 scheduled on host demo-host-03
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000008 started execution at 14.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000009 scheduled on host demo-host-03
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000009 scheduled on host demo-host-03
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000009 started execution at 16.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000010 scheduled on host demo-host-04
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000010 scheduled on host demo-host-04
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.workload:start_execution:103 | Workload wl_batch_000010 started execution at 18.00s (queued for 0.00s)
2025-09-19 00:06:56 | INFO     | cloud_scheduler.core.resources:schedule_on_host:247 | Container container_wl_batch_000011 scheduled on host demo-host-04
2025-09-19 00:06:56 | INFO     | cloud_scheduler.scheduling.baseline:_place_workload_on_host:126 | Workload wl_batch_000011 scheduled on host demo-host-04
